Dbp2.1	Dbp2.2	Dbp2.3	type
YAL061W	7	26	15	gene
YAL056W	11	39	8	gene
YAL053W	181	341	275	gene
YAL051W	46	49	48	gene
YAL049C	11	25	20	gene
YAL043C	8	7	49	gene
YAL042W	30	8	27	gene
YAL041W	11	128	43	gene
YAL040C	150	123	250	gene
YAL038W	4694	3803	5992	gene
YAL036C	43	49	38	gene
YAL035W	331	192	242	gene
YAL031C	12	10	13	gene
YAL029C	62	209	75	gene
YAL026C	15	26	51	gene
YAL025C	8	9	11	gene
YAL023C	60	198	109	gene
YAL021C	11	82	8	gene
YAL017W	90	114	153	gene
YAL016W	86	20	64	gene
YAL012W	188	123	256	gene
YAL007C	44	79	29	gene
YAL005C	2429	1508	1645	gene
YAL003W	1147	1324	1333	gene
YAL001C	14	41	30	gene
YAR002C-A	20	12	9	gene
YAR014C	76	130	21	gene
YAR015W	273	383	282	gene
YAR019C	44	68	60	gene
YAR023C	33	75	11	gene
YAR027W	22	126	19	gene
YAR042W	30	92	10	gene
YBL105C	21	131	78	gene
YBL103C	52	110	55	gene
YBL102W	27	28	13	gene
YBL101C	48	43	64	gene
YBL099W	205	98	243	gene
YBL092W	644	293	537	gene
YBL091C	41	154	7	gene
YBL087C	381	358	391	gene
YBL085W	28	19	13	gene
YBL081W	18	7	69	gene
YBL079W	11	41	8	gene
YBL078C	17	14	9	gene
YBL076C	670	822	527	gene
YBL072C	446	510	404	gene
YBL067C	16	18	23	gene
YBL064C	11	35	9	gene
YBL058W	62	76	95	gene
YBL057C	21	13	62	gene
YBL056W	107	319	101	gene
YBL055C	27	32	56	gene
YBL054W	15	18	12	gene
YBL051C	107	100	81	gene
YBL050W	39	96	47	gene
YBL047C	160	168	165	gene
YBL046W	21	41	39	gene
YBL045C	8	93	48	gene
YBL041W	89	101	25	gene
YBL040C	39	14	85	gene
YBL039C	48	79	40	gene
YBL032W	29	44	18	gene
YBL030C	159	133	112	gene
YBL027W	560	480	741	gene
YBL026W	67	28	44	gene
YBL024W	95	111	136	gene
YBL022C	110	65	181	gene
YBL018C	19	6	17	gene
YBL017C	224	196	116	gene
YBL015W	12	28	14	gene
YBL007C	160	160	159	gene
YBL005W	57	91	134	gene
YBL004W	341	248	349	gene
YBL003C	180	120	81	gene
YBL002W	283	57	250	gene
YBL001C	32	8	36	gene
YBR002C	17	81	22	gene
YBR003W	33	33	11	gene
YBR004C	44	67	57	gene
YBR005W	102	17	116	gene
YBR008C	14	7	7	gene
YBR009C	131	31	116	gene
YBR010W	266	58	197	gene
YBR011C	431	289	369	gene
YBR015C	18	21	34	gene
YBR016W	110	221	115	gene
YBR017C	13	22	17	gene
YBR023C	8	65	12	gene
YBR025C	240	125	117	gene
YBR031W	574	786	812	gene
YBR034C	61	98	62	gene
YBR036C	98	86	149	gene
YBR037C	9	25	16	gene
YBR039W	74	15	83	gene
YBR041W	62	15	58	gene
YBR048W	410	597	604	gene
YBR049C	7	75	9	gene
YBR052C	24	33	30	gene
YBR056W	11	56	66	gene
YBR059C	44	311	76	gene
YBR062C	21	63	28	gene
YBR067C	108	22	87	gene
YBR068C	439	305	547	gene
YBR069C	46	64	46	gene
YBR074W	19	27	15	gene
YBR076C-A	11	33	39	gene
YBR077C	11	19	41	gene
YBR078W	1591	1142	1904	gene
YBR079C	179	242	221	gene
YBR080C	48	71	52	gene
YBR082C	220	221	243	gene
YBR084W	25	32	41	gene
YBR084C-A	395	265	474	gene
YBR085C-A	96	256	88	gene
YBR086C	156	216	213	gene
YBR095C	38	6	12	gene
YBR101C	176	214	128	gene
YBR106W	179	316	124	gene
YBR109C	31	31	70	gene
YBR111W-A	40	9	10	gene
YBR112C	53	132	68	gene
YBR115C	29	10	45	gene
YBR118W	6320	3870	5746	gene
YBR121C	147	207	201	gene
YBR122C	25	94	33	gene
YBR126C	179	75	114	gene
YBR127C	466	345	361	gene
YBR129C	8	55	15	gene
YBR136W	6	9	13	gene
YBR139W	25	8	18	gene
YBR140C	94	344	173	gene
YBR143C	80	34	67	gene
YBR149W	48	11	54	gene
YBR154C	23	31	25	gene
YBR158W	42	8	52	gene
YBR159W	32	56	19	gene
YBR161W	23	58	39	gene
YBR162C	663	701	632	gene
YBR162W-A	47	17	23	gene
YBR170C	37	38	16	gene
YBR172C	16	10	24	gene
YBR177C	45	12	55	gene
YBR181C	675	431	602	gene
YBR187W	40	23	24	gene
YBR189W	572	365	536	gene
YBR191W	290	170	333	gene
YBR196C	1238	525	979	gene
YBR199W	57	94	58	gene
YBR200W	7	41	47	gene
YBR202W	35	33	58	gene
YBR207W	66	111	90	gene
